Temperature,Concentration,ConcentrationRatio,Time,STY,E_factor
122.0,330.0,4.5,0.8375,4897.028245072044,1.3104811005660648
74.0,430.0,3.3,1.2125,3463.18593387548,1.4168809838705116
102.0,130.0,2.5,0.6125,1046.538191223076,3.095051288598751
134.0,210.0,3.7,1.6625,1575.0914563487506,1.0295032367434382
118.0,170.0,1.1,1.0625,965.7181374259645,1.3573464428678355
110.0,450.0,2.9,0.9125,5910.332855559481,0.8271934814418267
98.0,250.0,1.9,1.7375,1385.0548338394308,0.8322738696546014
82.0,350.0,2.7,0.6875,3506.137935901685,2.0556814037112323
126.0,470.0,1.3,1.8875,2921.803826173757,0.28538749758612936
70.0,410.0,2.1,0.7625,2730.221602238054,2.6411196609296317
78.0,270.0,1.5,1.4375,1038.269670204061,1.8821694635683528
130.0,310.0,4.3,1.8125,2130.2122177227925,1.2371051757434564
114.0,390.0,4.9,1.1375,4282.231524050354,1.435486006358397
138.0,490.0,4.1,1.5875,3825.5130548964594,1.17937173563036
62.0,230.0,1.7,0.5375,654.4954076668862,9.972401850498484
66.0,290.0,4.7,1.5125,1812.3683462021936,2.127831782459419
106.0,190.0,3.1,0.9875,1883.2243304725719,1.324296308859404
90.0,110.0,3.9,1.2875,647.009121349178,2.453994013999925
94.0,150.0,3.5,1.9625,804.1641195401265,1.3242763094400298
86.0,370.0,2.3,1.3625,2611.7272974621337,1.0110927601221815
122.2156,484.2206,3.5188,0.5005,11706.170846206132,1.0277114936520486
127.0654,500.0,1.3753,1.0693,5208.564065909184,0.3828017863270744
115.8643,499.9945,4.3974,0.7651,8145.330203024965,1.2687315072623182
139.0455,499.9907,1.6348,0.6741,8553.187985457085,0.43160287630009986
86.319,500.0,3.3278,0.5862,7949.415935064806,1.5450947710385459
139.999,408.7143,4.3785,0.5,10176.602919815712,1.2649237082389226
140.0,499.4743,2.6832,0.532,11544.828404301135,0.705768035800884
140.0,447.3367,3.2896,0.97,5746.940644305421,0.8904905801995957
124.8594,426.1841,1.0002,0.5,5747.830295381955,1.0469678071849273
101.8493,262.8168,4.8301,0.5291,5015.906288570455,1.982789499159043
105.7904,446.3305,3.6739,0.6669,7850.75485035943,1.1478533311198602
78.3622,466.9355,4.9903,1.9999,2900.9878526885177,1.4791471608534366
134.8814,483.2224,3.59,0.5,11978.195796979247,1.0040370257958193
92.2004,379.8253,3.4582,0.7542,5121.442704429502,1.3871487021652016
140.0,246.0024,1.0,1.5423,1512.8606712709445,0.4553446550419464
139.9258,478.4804,4.5181,0.5394,11056.633803981713,1.3099435222868312
107.6939,499.9999,1.5115,0.6713,6454.185218980129,0.8443864381604016
140.0,300.9809,1.9956,0.5,6257.118067430147,0.736032960001978
139.9985,479.8425,1.0,1.2083,4108.5698757271475,0.33425259090820203
100.6066,499.9468,2.4552,0.5,9145.539811071412,1.186918210442328
112.6862,491.7422,3.2175,0.5,11220.846551282531,1.0378986058749744
128.2069,500.0,2.8852,0.6384,9618.409075383857,0.7780378614886415
112.6595,380.3636,1.0795,1.4851,2303.5094872779587,0.5724189894102255
137.0413,100.0536,4.9972,0.6034,1803.6977939009748,1.8344524684423247
132.0498,477.8004,1.0,0.7042,5877.5175491024265,0.5934586715057331
94.7475,476.8562,1.0009,1.7736,2181.5551467316664,0.7016239562679896
139.998,406.8052,1.3193,0.8464,5166.550016610197,0.4106996807913243
132.8768,500.0,1.9661,1.4007,4437.502902406177,0.44156402176335685
119.0365,499.9982,2.5949,0.6136,9519.193125906884,0.7632931041470357
115.1822,464.1439,1.7923,1.9997,2840.8377425958774,0.40366226504252906
75.3913,368.7985,1.0,2.0,1030.6267237311386,1.4694743418578007
140.0,446.7267,1.5414,0.6383,7704.4935274513955,0.46347439200668045
110.8623,393.4781,2.4358,0.7273,5783.248751592611,0.8635376322525743
139.793,484.3855,1.6929,0.5,10649.890734318718,0.5242153790301344
